Ascending,,,,,,,,,,,
,50,100,150,200,250,300,350,400,,Reference,
1,9176.05,9245.31,9318.01,9389.67,9461.56,9535.20,9608.76,9682.32,,0,
2,9243.69,9300.05,9360.22,9419.90,9480.79,9543.43,9606.60,9669.64,,9104.33,
3,1900.87,1917.42,1937.13,1956.72,1976.68,1997.37,2018.01,2039.13,,9185.56,
4,856.77,876.48,898.03,919.64,941.40,963.47,985.69,1007.87,,1883.45,
5,964.57,1028.40,1096.78,1163.29,1231.84,1301.22,1371.77,1441.87,,835.69,
6,5751.38,5810.75,5875.25,5939.61,6005.69,6073.23,6142.10,6210.80,,899.25,
7,2100.90,2135.77,2174.39,2212.67,2251.53,2291.41,2331.30,2371.20,,5688.48,
8,2180.62,2216.52,2256.07,2295.09,2334.69,2375.18,2415.59,2456.04,,2064.38,
9,2179.63,2217.42,2256.97,2296.39,2335.88,2376.28,2416.73,2457.09,,2142.88,
10,1603.86,1706.34,1806.29,1901.58,1994.26,2086.00,2175.84,2263.48,,2140.73,
11,1776.29,1802.14,1829.24,1854.89,1880.32,1905.59,1930.62,1955.05,,1495.28,
,,,,,,,,,,1747.80,
Descending,,,,,,,,,,,
,400,350,300,250,200,150,100,50,,,
1,9682.316908,9611.022455,9539.108808,9466.953109,9393.696033,9321.423678,9245.113959,9170.390768,,,
2,9669.641188,9607.865549,9546.019635,9484.37188,9422.564337,9361.829097,9298.217307,9236.897873,,,
3,2039.134976,2018.467922,1997.529386,1977.033234,1956.366566,1936.401474,1915.571446,1895.607515,,,
4,1007.87373,983.502629,960.664665,938.585472,917.561615,894.772538,873.477324,851.201817,,,
5,1441.8704,1373.044639,1303.059891,1233.873482,1161.370697,1096.835018,1020.308895,954.918805,,,
6,6210.804522,6140.116796,6071.419641,6004.335016,5939.1397,5872.149955,5804.423403,5738.071545,,,
7,2371.203998,2331.107758,2290.827965,2250.877656,2211.116164,2171.923188,2131.8987,2092.639755,,,
8,2456.043101,2415.351528,2374.388259,2333.832055,2293.265414,2253.43971,2212.498001,2172.345976,,,
9,2457.089321,2416.655333,2375.909176,2335.52021,2295.243818,2255.457032,2214.746125,2174.413917,,,
10,2263.476208,2176.368465,2086.954815,1995.779856,1902.374822,1806.997021,1705.336622,1600.310878,,,
11,1955.047959,1930.507309,1905.240972,1879.800521,1853.553509,1827.090467,1798.643505,1769.436204,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Normalized Ascending Strain,,,,,,,,,,
Rosette,50,100,150,200,250,300,350,400,psig,,
1,71.71,140.97,213.67,285.33,357.23,430.87,504.43,577.98,,,
2,58.13,114.49,174.67,234.34,295.23,357.88,421.04,484.08,,,
3,17.42,33.98,53.68,73.27,93.23,113.93,134.57,155.69,,,
4,21.08,40.79,62.34,83.95,105.70,127.78,150.00,172.18,,,
5,65.31,129.15,197.52,264.04,332.59,401.96,472.51,542.62,,,
6,62.90,122.27,186.77,251.13,317.21,384.75,453.62,522.32,,,
7,36.53,71.39,110.01,148.29,187.15,227.03,266.93,306.83,,,
8,37.74,73.63,113.19,152.21,191.81,232.30,272.71,313.16,,,
9,38.90,76.69,116.24,155.66,195.15,235.54,276.00,316.36,,,
10,108.58,211.06,311.00,406.30,498.98,590.72,680.55,768.19,,,
11,28.49,54.34,81.44,107.10,132.53,157.79,182.82,207.25,,,
,,,,,,,,,,,
,Normalized Descending Strain,,,,,,,,,,
Rosette,400,350,300,250,200,150,100,50,,,
1,577.98,506.69,434.78,362.62,289.36,217.09,140.78,66.06,,,
2,484.08,422.31,360.46,298.81,237.01,176.27,112.66,51.34,,,
3,155.69,135.02,114.08,93.59,72.92,52.96,32.13,12.16,,,
4,172.18,147.81,124.97,102.89,81.87,59.08,37.79,15.51,,,
5,542.62,473.79,403.81,334.62,262.12,197.58,121.05,55.66,,,
6,522.32,451.64,382.94,315.85,250.66,183.67,115.94,49.59,,,
7,306.83,266.73,226.45,186.50,146.74,107.55,67.52,28.26,,,
8,313.16,272.47,231.50,190.95,150.38,110.56,69.61,29.46,,,
9,316.36,275.92,235.18,194.79,154.51,114.72,74.01,33.68,,,
10,768.19,681.09,591.67,500.50,407.09,311.71,210.05,105.03,,,
11,207.25,182.71,157.44,132.00,105.76,79.29,50.85,21.64,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,